DeviceID,BrandID,ModelID,DisplayID,CameraID,ConnectivityID,OSID,PhysicalSpecID,ReleasedYear,ReleasedAnnounced
12461,95,12561,1908,10528,313,162,7114,2016,2016-03-01
12462,95,12562,1886,10079,249,279,7115,2017,2017-02-01
12463,95,12563,1908,10528,312,279,7116,2016,2016-05-01
12464,95,12564,1834,10192,258,162,7117,2016,2016-09-01
12465,95,12565,1511,10079,249,279,7118,2016,2016-02-01
12466,95,12566,1511,10079,249,279,7119,2016,2016-05-01
12467,95,12567,2461,10345,447,414,7120,2016,2016-02-02
12468,95,12568,1511,10685,249,415,7121,2016,2016-11-06
12469,95,12569,2461,10345,448,253,7122,2017,2017-03-03
12470,95,12570,1511,10428,249,416,7123,2017,2017-06-01
12471,95,12571,1886,11102,249,356,7124,2017,2017-03-01
12472,95,12572,1908,10528,249,381,7125,2017,2017-06-01
12473,95,12573,1886,10029,391,388,7126,2017,2017-07-05
12474,95,12574,1511,10365,340,355,7127,2017,2017-06-05
12475,95,12575,2376,10428,249,356,7128,2017,2017-03-01
12476,95,12576,1511,10079,249,406,7129,2017,2017-07-01
12477,95,12577,2461,10345,448,292,7130,2017,2017-07-01
12478,95,12578,1834,11075,384,388,7131,2017,2017-02-28
12479,95,12579,2540,11284,384,360,7132,2017,2017-02-28
12480,95,12580,2343,10029,212,156,7133,2017,2017-07-01
12481,95,12581,1908,10345,249,417,7134,2017,2017-08-05
12482,95,12582,1886,10079,249,292,7129,2017,2017-09-01
12483,95,12583,1908,10528,249,152,7135,2017,2017-05-19
12484,248,12584,2516,10192,307,252,7136,2017,2017-07-01
12485,72,12585,1761,10483,410,315,7137,2017,2017-10-02
12486,72,12586,2480,11188,126,325,6983,2017,2017-08-24
12487,72,12587,2480,11274,126,325,7086,2017,2017-08-24
12488,72,12588,2480,11274,126,325,7086,2017,2017-08-24
12489,72,12589,2480,11274,126,325,7086,2017,2017-08-24
12490,108,12590,2539,10917,222,378,7030,2017,2017-09-01
12491,42,12591,2282,10991,126,204,7138,2017,2017-10-11
12492,42,12592,2427,10991,285,204,7139,2017,2017-10-18
12493,42,12593,2282,10991,126,204,7138,2017,2017-11-07
12494,139,12594,2566,10999,311,152,7140,2017,2017-07-01
12495,253,12595,1534,10192,276,279,7141,2016,2016-08-31
12496,95,12596,1959,10121,425,388,5508,2017,2017-09-01
12497,95,12597,1636,10029,256,156,6728,2017,2017-09-01
12498,87,12598,2005,10040,333,276,4643,2017,2017-09-12
12499,308,12599,2051,10704,449,393,7142,2017,2017-09-01
12500,243,12600,1511,11285,261,381,7143,2017,2017-09-25
12501,320,12601,2567,10030,258,417,7144,2017,2017-07-22
12502,320,12602,1511,10079,249,260,7145,2015,2015-12-06
12503,88,12603,2019,11286,180,418,7146,2017,2017-09-06
12504,243,12604,1511,11287,249,152,7147,2017,2017-09-29
12505,107,12605,2417,10771,367,292,7148,2017,2017-06-13
12506,277,12606,2568,10761,219,256,7149,2017,2017-09-26
12507,107,12607,2417,10771,367,292,7148,2017,2017-06-13
12508,26,12608,2485,11194,156,387,7150,2018,2017-09-01
12509,26,12609,1967,11194,212,387,7151,2017,2017-09-01
12510,277,12610,1979,10913,222,252,7152,2017,2017-09-24
12511,26,12611,2485,11194,156,387,7153,2017,2017-09-01
12512,2,12612,2281,10635,245,402,7154,2017,2017-09-12
12513,5,12613,2569,11200,126,390,7155,2017,2017-07-01
12514,5,12614,2569,11200,126,390,7156,2017,2017-07-01
12515,120,12615,1761,10635,245,216,7157,2017,2017-09-12
12516,120,12616,1762,10636,245,216,7158,2017,2017-09-12
12517,108,12617,2539,10917,212,419,6459,2017,2017-09-25
12518,11,12618,2400,10209,212,252,7159,2017,2017-09-11
12519,11,12619,2400,10209,212,252,7159,2017,2017-09-11
12520,263,12620,1511,10079,249,292,7160,2017,2017-09-20
12521,214,12621,2376,10934,314,252,7161,2017,2017-09-27
12522,108,12622,2301,10079,258,343,7162,2017,2017-09-26
12523,11,12623,2400,10209,212,252,6860,2017,2017-09-11
12524,49,12624,2400,10295,258,152,6267,2017,2017-09-19
12525,63,12625,2449,11164,126,191,7163,2017,2017-10-13
12526,31,12626,2062,10111,212,264,6625,2017,2017-09-26
12527,96,12627,2466,11288,335,388,7164,2017,2017-09-20
12528,107,12628,2282,10940,154,420,5827,2017,2017-06-17
12529,31,12629,2188,10956,193,312,6339,2017,2017-10-16
12530,5,12630,1499,10437,248,150,7165,2017,2017-09-20
12531,108,12631,2135,10333,212,378,7030,2017,2017-08-02
12532,129,12632,1865,11206,330,315,6898,2017,2017-09-21
12533,107,12633,2282,10795,180,356,6713,2017,2017-08-28
12534,72,12634,2465,11047,380,191,7166,2017,2017-07-26
12535,26,12635,1967,11194,212,387,7151,2017,2017-09-01
12536,115,12636,1511,10029,422,252,7167,2017,2017-07-01
12537,115,12637,1886,10029,422,252,7168,2017,2017-07-01
12538,235,12638,2045,10029,255,252,7169,2017,2017-05-08
12539,235,12639,2045,10029,255,252,7169,2017,2017-05-04
12540,235,12640,2570,10365,252,252,7170,2017,2017-05-04
12541,235,12641,2570,10365,252,252,7170,2017,2017-05-08
12542,107,12642,2336,11080,180,360,7171,2017,2017-08-05
12543,120,12643,1761,10635,273,216,7172,2017,2017-09-12
12544,129,12644,1865,11206,450,191,6898,2017,2017-09-04
12545,129,12645,1865,11206,330,191,6725,2017,2017-09-13
12546,144,12646,2275,11289,390,152,7173,2016,2016-07-01
12547,21,12647,2302,11290,115,191,7174,2017,2017-09-12
12548,21,12648,2302,11290,115,191,7175,2017,2017-09-12
12549,144,12649,1886,11041,252,253,7176,2016,2016-09-03
12550,144,12650,1886,10901,249,253,7177,2016,2016-09-02
12551,11,12651,2206,10029,282,252,7178,2017,2017-09-19
12552,144,12652,1886,11180,249,252,7179,2016,2016-10-02
12553,31,12653,2062,10111,282,264,6625,2017,2017-07-01
12554,5,12654,2289,11200,285,390,7180,2017,2017-10-22
12555,162,12655,2163,10029,314,292,7181,2017,2017-09-01
12556,162,12656,1663,10192,314,292,7182,2017,2017-09-01
