DisplayID;DisplayHole;DisplayDiagonal;Resolution;DisplayType;DisplayColorDepth;DisplayIllumination;DisplayRefreshRate
2414;;127 mm;720x1280;Color TN-TFT LCD display;24 bit/pixel;LED;
2415;;127 mm;1080x1920;Color TN-TFT LCD display;24 bit/pixel;Yes;
2416;;155 mm;1080x2240;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2417;;256.5 mm;800x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2418;;144.78 mm;720x1440;Color TN-TFT LCD display;24 bit/pixel;LED;
2419;;147 mm;1080x2220;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2420;;158.1 mm;1440x2960;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2421;;138 mm;480x960;Color IPS TFT LCD display;24 bit/pixel;Yes;
2422;;151.13 mm;1440x2560;Color AM-OLED display;24 bit/pixel;LED;
2423;;138.68 mm;1080x1920;Color AM-OLED display;24 bit/pixel;LED;
2424;;158.2 mm;1080x2280;Color IPS TFT LCD display;24 bit/pixel;LED;
2425;;152.4 mm;1080x1920;Color TN-TFT LCD display;24 bit/pixel;Yes;
2426;;139 mm;1080x1920;Color TN-TFT LCD display;24 bit/pixel;LED;
2427;;132 mm;1080x1920;Color TN-TFT LCD display;24 bit/pixel;LED;
2428;;138.4 mm;720x960;Color IPS TFT LCD display;24 bit/pixel;Yes;
2429;;139 mm;640x1280;Color IPS TFT LCD display;24 bit/pixel;LED;
2430;;139.5 mm;1440x2560;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2431;;129.2 mm;1440x2560;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2432;;145 mm;720x1440;Color TN-TFT LCD display;24 bit/pixel;LED;
2433;;152.65 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2434;;145.29 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;Yes;
2435;;127 mm;1080x1920;Color IPS TFT LCD display;18 bit/pixel;Yes;
2436;;144 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;Yes;
